"Age","Est Eligible Population","General Roll","Maori Roll","Total Enrolled","Difference","% Enrolled","Electorate"
"25",16200,4106,211,4317,11883,26.65,"Auckland Central"
"30",14950,4306,150,4456,10494,29.81,"Auckland Central"
"35",10850,4495,125,4620,6230,42.58,"Auckland Central"
"40",5760,3713,127,3840,1920,66.67,"Auckland Central"
"45",4050,3158,122,3280,770,80.99,"Auckland Central"
"50",3750,3223,127,3350,400,89.33,"Auckland Central"
"55",3430,2970,129,3099,331,90.35,"Auckland Central"
"60",3330,2955,98,3053,277,91.68,"Auckland Central"
"65",2900,2510,78,2588,312,89.24,"Auckland Central"
"70",2610,2310,56,2366,244,90.65,"Auckland Central"
NA,3610,3205,71,3276,334,90.75,"Auckland Central"
"25",5290,3720,505,4225,1065,79.87,"Bay of Plenty"
"30",3670,2978,455,3433,237,93.54,"Bay of Plenty"
"35",3660,3334,510,3844,-184,105.03,"Bay of Plenty"
"40",3900,3673,516,4189,-289,107.41,"Bay of Plenty"
"45",4660,4215,457,4672,-12,100.26,"Bay of Plenty"
"50",5100,4622,449,5071,29,99.43,"Bay of Plenty"
"55",5070,4716,398,5114,-44,100.87,"Bay of Plenty"
"60",4850,4625,356,4981,-131,102.7,"Bay of Plenty"
"65",4600,4374,284,4658,-58,101.26,"Bay of Plenty"
"70",4360,4412,174,4586,-226,105.18,"Bay of Plenty"
NA,10150,9892,278,10170,-20,100.2,"Bay of Plenty"
"25",7450,4824,209,5033,2417,67.56,"Botany"
"30",5400,3918,185,4103,1297,75.98,"Botany"
"35",5330,4346,190,4536,794,85.1,"Botany"
"40",4820,4640,156,4796,24,99.5,"Botany"
"45",4480,4123,156,4279,201,95.51,"Botany"
"50",5050,4783,156,4939,111,97.8,"Botany"
"55",4880,4685,119,4804,76,98.44,"Botany"
"60",4380,4280,120,4400,-20,100.46,"Botany"
"65",3780,3630,86,3716,64,98.31,"Botany"
"70",3180,3111,57,3168,12,99.62,"Botany"
NA,5730,5767,66,5833,-103,101.8,"Botany"
"25",7700,4138,377,4515,3185,58.64,"Christchurch Central"
"30",7270,4475,271,4746,2524,65.28,"Christchurch Central"
"35",6300,3993,227,4220,2080,66.98,"Christchurch Central"
"40",5100,3718,193,3911,1189,76.69,"Christchurch Central"
"45",4770,3654,187,3841,929,80.52,"Christchurch Central"
"50",4860,3932,183,4115,745,84.67,"Christchurch Central"
"55",4470,3759,175,3934,536,88.01,"Christchurch Central"
"60",4140,3593,136,3729,411,90.07,"Christchurch Central"
"65",3390,2931,95,3026,364,89.26,"Christchurch Central"
"70",2830,2568,79,2647,183,93.53,"Christchurch Central"
NA,6540,6666,79,6745,-205,103.13,"Christchurch Central"
"25",6290,3973,514,4487,1803,71.34,"Christchurch East"
"30",5190,3447,352,3799,1391,73.2,"Christchurch East"
"35",4770,3338,334,3672,1098,76.98,"Christchurch East"
"40",4390,3430,300,3730,660,84.97,"Christchurch East"
"45",4780,3862,277,4139,641,86.59,"Christchurch East"
"50",5050,4281,266,4547,503,90.04,"Christchurch East"
"55",4680,3964,232,4196,484,89.66,"Christchurch East"
"60",4550,4126,178,4304,246,94.59,"Christchurch East"
"65",3810,3528,133,3661,149,96.09,"Christchurch East"
"70",3120,2904,85,2989,131,95.8,"Christchurch East"
NA,6500,5964,94,6058,442,93.2,"Christchurch East"
"25",5570,3751,275,4026,1544,72.28,"Clutha-Southland"
"30",5140,2953,192,3145,1995,61.19,"Clutha-Southland"
"35",5100,3356,172,3528,1572,69.18,"Clutha-Southland"
"40",4870,3747,167,3914,956,80.37,"Clutha-Southland"
"45",4760,4154,144,4298,462,90.29,"Clutha-Southland"
"50",5080,4413,168,4581,499,90.18,"Clutha-Southland"
"55",4850,4401,161,4562,288,94.06,"Clutha-Southland"
"60",4880,4480,151,4631,249,94.9,"Clutha-Southland"
"65",4060,3767,98,3865,195,95.2,"Clutha-Southland"
"70",3520,3360,80,3440,80,97.73,"Clutha-Southland"
NA,7100,6611,84,6695,405,94.3,"Clutha-Southland"
"25",4420,3063,449,3512,908,79.46,"Coromandel"
"30",3220,2418,347,2765,455,85.87,"Coromandel"
"35",2890,2344,330,2674,216,92.53,"Coromandel"
"40",3010,2414,295,2709,301,90,"Coromandel"
"45",3610,3020,332,3352,258,92.85,"Coromandel"
"50",4490,3831,385,4216,274,93.9,"Coromandel"
"55",4960,4328,375,4703,257,94.82,"Coromandel"
"60",5510,5219,389,5608,-98,101.78,"Coromandel"
"65",5520,5450,318,5768,-248,104.49,"Coromandel"
"70",6190,6150,230,6380,-190,103.07,"Coromandel"
NA,13400,12956,334,13290,110,99.18,"Coromandel"
"25",17450,9531,481,10012,7438,57.38,"Dunedin North"
"30",5020,3963,202,4165,855,82.97,"Dunedin North"
"35",3560,3179,151,3330,230,93.54,"Dunedin North"
"40",3170,3051,122,3173,-3,100.09,"Dunedin North"
"45",3280,3112,118,3230,50,98.48,"Dunedin North"
"50",3670,3472,120,3592,78,97.87,"Dunedin North"
"55",3650,3464,115,3579,71,98.05,"Dunedin North"
"60",3820,3668,98,3766,54,98.59,"Dunedin North"
"65",3330,3107,54,3161,169,94.92,"Dunedin North"
"70",2790,2626,55,2681,109,96.09,"Dunedin North"
NA,5680,5404,53,5457,223,96.07,"Dunedin North"
"25",5430,4102,231,4333,1097,79.8,"Dunedin South"
"30",3520,3143,166,3309,211,94.01,"Dunedin South"
"35",3550,3344,167,3511,39,98.9,"Dunedin South"
"40",3490,3295,165,3460,30,99.14,"Dunedin South"
"45",3920,3748,141,3889,31,99.21,"Dunedin South"
"50",4540,4302,141,4443,97,97.86,"Dunedin South"
"55",4610,4431,129,4560,50,98.92,"Dunedin South"
"60",4720,4617,109,4726,-6,100.13,"Dunedin South"
"65",4160,4020,94,4114,46,98.89,"Dunedin South"
"70",3770,3698,65,3763,7,99.81,"Dunedin South"
NA,8710,8594,82,8676,34,99.61,"Dunedin South"
"25",8580,3833,2621,6454,2126,75.22,"East Coast"
"30",5960,3044,2099,5143,817,86.29,"East Coast"
"35",5190,3023,1979,5002,188,96.38,"East Coast"
"40",5230,3025,1899,4924,306,94.15,"East Coast"
"45",5900,3392,2025,5417,483,91.81,"East Coast"
"50",6540,4093,2014,6107,433,93.38,"East Coast"
"55",6560,4333,1933,6266,294,95.52,"East Coast"
"60",7150,4947,2014,6961,189,97.36,"East Coast"
"65",6580,4756,1622,6378,202,96.93,"East Coast"
"70",5940,4535,1207,5742,198,96.67,"East Coast"
NA,11400,9139,1731,10870,530,95.35,"East Coast"
"25",7170,4849,120,4969,2201,69.3,"East Coast Bays"
"30",5160,3607,76,3683,1477,71.38,"East Coast Bays"
"35",4590,4036,54,4090,500,89.11,"East Coast Bays"
"40",4060,4008,72,4080,-20,100.49,"East Coast Bays"
"45",4200,3808,70,3878,322,92.33,"East Coast Bays"
"50",5190,4652,67,4719,471,90.92,"East Coast Bays"
"55",4880,4414,61,4475,405,91.7,"East Coast Bays"
"60",4370,4116,48,4164,206,95.29,"East Coast Bays"
"65",3700,3414,29,3443,257,93.05,"East Coast Bays"
"70",2830,2655,20,2675,155,94.52,"East Coast Bays"
NA,5840,5725,22,5747,93,98.41,"East Coast Bays"
"25",9040,6119,131,6250,2790,69.14,"Epsom"
"30",7800,4738,105,4843,2957,62.09,"Epsom"
"35",5440,3828,58,3886,1554,71.43,"Epsom"
"40",3700,3356,51,3407,293,92.08,"Epsom"
"45",3750,3658,72,3730,20,99.47,"Epsom"
"50",4810,4876,59,4935,-125,102.6,"Epsom"
"55",5270,5278,61,5339,-69,101.31,"Epsom"
"60",4400,4448,51,4499,-99,102.25,"Epsom"
"65",3550,3573,41,3614,-64,101.8,"Epsom"
"70",3050,3015,16,3031,19,99.38,"Epsom"
NA,5640,5760,24,5784,-144,102.55,"Epsom"
"25",12700,5885,962,6847,5853,53.91,"Hamilton East"
"30",6730,4226,649,4875,1855,72.44,"Hamilton East"
"35",5210,3858,607,4465,745,85.7,"Hamilton East"
"40",4830,3920,552,4472,358,92.59,"Hamilton East"
"45",4820,4021,541,4562,258,94.65,"Hamilton East"
"50",4930,4167,490,4657,273,94.46,"Hamilton East"
"55",4490,3874,415,4289,201,95.52,"Hamilton East"
"60",4070,3551,310,3861,209,94.86,"Hamilton East"
"65",3580,3131,244,3375,205,94.27,"Hamilton East"
"70",2940,2639,161,2800,140,95.24,"Hamilton East"
NA,6700,6265,211,6476,224,96.66,"Hamilton East"
"25",8850,4761,1027,5788,3062,65.4,"Hamilton West"
"30",7340,5096,938,6034,1306,82.21,"Hamilton West"
"35",6510,4967,870,5837,673,89.66,"Hamilton West"
"40",5560,4346,718,5064,496,91.08,"Hamilton West"
"45",4860,3916,697,4613,247,94.92,"Hamilton West"
"50",4800,4034,690,4724,76,98.42,"Hamilton West"
"55",4410,3677,551,4228,182,95.87,"Hamilton West"
"60",4360,3760,491,4251,109,97.5,"Hamilton West"
"65",3980,3416,338,3754,226,94.32,"Hamilton West"
"70",3280,2889,251,3140,140,95.73,"Hamilton West"
NA,6400,5992,294,6286,114,98.22,"Hamilton West"
"25",5960,4369,285,4654,1306,78.09,"Helensville"
"30",3920,3176,180,3356,564,85.61,"Helensville"
"35",3300,3260,173,3433,-133,104.03,"Helensville"
"40",3580,3696,158,3854,-274,107.65,"Helensville"
"45",4490,4384,195,4579,-89,101.98,"Helensville"
"50",5620,5435,244,5679,-59,101.05,"Helensville"
"55",5590,5324,216,5540,50,99.11,"Helensville"
"60",4980,4887,195,5082,-102,102.05,"Helensville"
"65",3950,3736,124,3860,90,97.72,"Helensville"
"70",3290,3054,63,3117,173,94.74,"Helensville"
NA,5190,4658,83,4741,449,91.35,"Helensville"
"25",6420,4588,464,5052,1368,78.69,"Hunua"
"30",4310,3401,324,3725,585,86.43,"Hunua"
"35",3870,3612,231,3843,27,99.3,"Hunua"
"40",4100,4002,274,4276,-176,104.29,"Hunua"
"45",5020,4662,323,4985,35,99.3,"Hunua"
"50",5650,5330,287,5617,33,99.42,"Hunua"
"55",5520,5137,242,5379,141,97.45,"Hunua"
"60",4980,4710,244,4954,26,99.48,"Hunua"
"65",4080,3943,171,4114,-34,100.83,"Hunua"
"70",3570,3500,111,3611,-41,101.15,"Hunua"
NA,6730,6696,142,6838,-108,101.6,"Hunua"
"25",6370,4375,482,4857,1513,76.25,"Hutt South"
"30",4830,3967,420,4387,443,90.83,"Hutt South"
"35",4500,4147,378,4525,-25,100.56,"Hutt South"
"40",4930,4478,420,4898,32,99.35,"Hutt South"
"45",5040,4445,379,4824,216,95.71,"Hutt South"
"50",5400,4804,415,5219,181,96.65,"Hutt South"
"55",5160,4700,364,5064,96,98.14,"Hutt South"
"60",5120,4651,329,4980,140,97.27,"Hutt South"
"65",4270,3955,224,4179,91,97.87,"Hutt South"
"70",3480,3133,160,3293,187,94.63,"Hutt South"
NA,6810,6405,190,6595,215,96.84,"Hutt South"
"25",10450,5703,231,5934,4516,56.78,"Ilam"
"30",5560,3465,149,3614,1946,65,"Ilam"
"35",4130,3041,104,3145,985,76.15,"Ilam"
"40",3450,2944,86,3030,420,87.83,"Ilam"
"45",3470,3155,85,3240,230,93.37,"Ilam"
"50",4240,3913,86,3999,241,94.32,"Ilam"
"55",4370,3952,62,4014,356,91.85,"Ilam"
"60",4180,3826,63,3889,291,93.04,"Ilam"
"65",3650,3461,53,3514,136,96.27,"Ilam"
"70",3080,2924,38,2962,118,96.17,"Ilam"
NA,7610,7366,61,7427,183,97.6,"Ilam"
"25",5540,4106,424,4530,1010,81.77,"Invercargill"
"30",4610,3400,297,3697,913,80.2,"Invercargill"
"35",4190,3396,348,3744,446,89.36,"Invercargill"
"40",4190,3419,326,3745,445,89.38,"Invercargill"
"45",4150,3559,298,3857,293,92.94,"Invercargill"
"50",4480,3993,232,4225,255,94.31,"Invercargill"
"55",4710,4243,228,4471,239,94.93,"Invercargill"
"60",4740,4442,218,4660,80,98.31,"Invercargill"
"65",4060,3852,145,3997,63,98.45,"Invercargill"
"70",3500,3207,144,3351,149,95.74,"Invercargill"
NA,7590,7178,209,7387,203,97.33,"Invercargill"
"25",4310,3137,333,3470,840,80.51,"Kaikōura"
"30",3310,2473,235,2708,602,81.81,"Kaikōura"
"35",3450,2703,207,2910,540,84.35,"Kaikōura"
"40",3520,2917,191,3108,412,88.3,"Kaikōura"
"45",4020,3620,198,3818,202,94.98,"Kaikōura"
"50",4700,4268,215,4483,217,95.38,"Kaikōura"
"55",4910,4551,208,4759,151,96.92,"Kaikōura"
"60",5260,5026,204,5230,30,99.43,"Kaikōura"
"65",4910,4671,146,4817,93,98.11,"Kaikōura"
"70",4820,4667,106,4773,47,99.02,"Kaikōura"
NA,9740,9216,154,9370,370,96.2,"Kaikōura"
"25",7290,4328,463,4791,2499,65.72,"Kelston"
"30",6110,4187,399,4586,1524,75.06,"Kelston"
"35",5660,4565,345,4910,750,86.75,"Kelston"
"40",5150,4444,298,4742,408,92.08,"Kelston"
"45",4780,4085,308,4393,387,91.9,"Kelston"
"50",4710,4203,316,4519,191,95.94,"Kelston"
"55",4190,3719,284,4003,187,95.54,"Kelston"
"60",3880,3535,235,3770,110,97.16,"Kelston"
"65",3170,2817,152,2969,201,93.66,"Kelston"
"70",2410,2187,80,2267,143,94.07,"Kelston"
NA,4520,4055,126,4181,339,92.5,"Kelston"
"25",6690,4220,653,4873,1817,72.84,"Mana"
"30",4470,3559,554,4113,357,92.01,"Mana"
"35",3930,3713,507,4220,-290,107.38,"Mana"
"40",4490,4077,501,4578,-88,101.96,"Mana"
"45",5190,4590,500,5090,100,98.07,"Mana"
"50",5530,4854,513,5367,163,97.05,"Mana"
"55",5260,4671,432,5103,157,97.02,"Mana"
"60",4820,4331,340,4671,149,96.91,"Mana"
"65",4130,3662,300,3962,168,95.93,"Mana"
"70",3530,3143,189,3332,198,94.39,"Mana"
NA,6570,5897,263,6160,410,93.76,"Mana"
"25",9040,5503,665,6168,2872,68.23,"Māngere"
"30",6260,4758,630,5388,872,86.07,"Māngere"
"35",5110,4442,548,4990,120,97.65,"Māngere"
"40",4470,4258,479,4737,-267,105.97,"Māngere"
"45",4140,3987,504,4491,-351,108.48,"Māngere"
"50",4330,4047,593,4640,-310,107.16,"Māngere"
"55",4010,3858,450,4308,-298,107.43,"Māngere"
"60",3370,3289,342,3631,-261,107.74,"Māngere"
"65",2760,2514,276,2790,-30,101.09,"Māngere"
"70",2330,2050,208,2258,72,96.91,"Māngere"
NA,4040,3836,329,4165,-125,103.09,"Māngere"
"25",8450,4811,580,5391,3059,63.8,"Manukau East"
"30",6870,4544,594,5138,1732,74.79,"Manukau East"
"35",5600,4346,502,4848,752,86.57,"Manukau East"
"40",4740,4218,484,4702,38,99.2,"Manukau East"
"45",4190,3865,427,4292,-102,102.43,"Manukau East"
"50",4240,3871,469,4340,-100,102.36,"Manukau East"
"55",4020,3748,468,4216,-196,104.88,"Manukau East"
"60",3610,3317,388,3705,-95,102.63,"Manukau East"
"65",2920,2578,282,2860,60,97.95,"Manukau East"
"70",2280,2036,192,2228,52,97.72,"Manukau East"
NA,4150,3920,245,4165,-15,100.36,"Manukau East"
"25",9040,4990,1154,6144,2896,67.96,"Manurewa"
"30",7100,4823,1133,5956,1144,83.89,"Manurewa"
"35",6070,4679,1010,5689,381,93.72,"Manurewa"
"40",5250,4402,913,5315,-65,101.24,"Manurewa"
"45",4620,3888,820,4708,-88,101.9,"Manurewa"
"50",4690,3887,863,4750,-60,101.28,"Manurewa"
"55",4440,3737,705,4442,-2,100.05,"Manurewa"
"60",4060,3333,611,3944,116,97.14,"Manurewa"
"65",3260,2790,422,3212,48,98.53,"Manurewa"
"70",2630,2168,257,2425,205,92.21,"Manurewa"
NA,4270,3632,292,3924,346,91.9,"Manurewa"
"25",6530,4332,427,4759,1771,72.88,"Maungakiekie"
"30",7160,4810,429,5239,1921,73.17,"Maungakiekie"
"35",6960,5414,387,5801,1159,83.35,"Maungakiekie"
"40",6280,5258,338,5596,684,89.11,"Maungakiekie"
"45",5150,4614,364,4978,172,96.66,"Maungakiekie"
"50",4620,4276,306,4582,38,99.18,"Maungakiekie"
"55",4030,3664,282,3946,84,97.92,"Maungakiekie"
"60",3840,3439,258,3697,143,96.28,"Maungakiekie"
"65",3360,2926,208,3134,226,93.27,"Maungakiekie"
"70",2660,2401,124,2525,135,94.92,"Maungakiekie"
NA,5300,5033,148,5181,119,97.75,"Maungakiekie"
"25",7630,4559,279,4838,2792,63.41,"Mt Albert"
"30",8210,4912,226,5138,3072,62.58,"Mt Albert"
"35",6990,5158,184,5342,1648,76.42,"Mt Albert"
"40",5720,5150,182,5332,388,93.22,"Mt Albert"
"45",5530,5334,218,5552,-22,100.4,"Mt Albert"
"50",5100,5093,204,5297,-197,103.86,"Mt Albert"
"55",4360,4359,159,4518,-158,103.62,"Mt Albert"
"60",3580,3608,132,3740,-160,104.47,"Mt Albert"
"65",2810,2718,97,2815,-5,100.18,"Mt Albert"
"70",2160,2052,64,2116,44,97.96,"Mt Albert"
NA,3940,3858,72,3930,10,99.75,"Mt Albert"
"25",7700,5100,165,5265,2435,68.38,"Mt Roskill"
"30",7230,4646,163,4809,2421,66.51,"Mt Roskill"
"35",5980,4709,134,4843,1137,80.99,"Mt Roskill"
"40",4670,4556,141,4697,-27,100.58,"Mt Roskill"
"45",4300,4135,126,4261,39,99.09,"Mt Roskill"
"50",4400,4268,121,4389,11,99.75,"Mt Roskill"
"55",4230,4095,95,4190,40,99.05,"Mt Roskill"
"60",4060,3998,105,4103,-43,101.06,"Mt Roskill"
"65",3520,3363,71,3434,86,97.56,"Mt Roskill"
"70",2760,2634,56,2690,70,97.46,"Mt Roskill"
NA,5380,5382,72,5454,-74,101.38,"Mt Roskill"
"25",6070,3629,831,4460,1610,73.48,"Napier"
"30",4140,2875,695,3570,570,86.23,"Napier"
"35",3600,2758,604,3362,238,93.39,"Napier"
"40",3800,3000,681,3681,119,96.87,"Napier"
"45",4430,3643,695,4338,92,97.92,"Napier"
"50",5060,4187,662,4849,211,95.83,"Napier"
"55",5130,4339,625,4964,166,96.76,"Napier"
"60",5340,4593,592,5185,155,97.1,"Napier"
"65",4810,4168,472,4640,170,96.47,"Napier"
"70",4670,4188,358,4546,124,97.34,"Napier"
NA,10050,9152,543,9695,355,96.47,"Napier"
"25",5280,3926,351,4277,1003,81,"Nelson"
"30",3630,3116,250,3366,264,92.73,"Nelson"
"35",3560,3200,222,3422,138,96.12,"Nelson"
"40",3590,3385,178,3563,27,99.25,"Nelson"
"45",4350,3923,202,4125,225,94.83,"Nelson"
"50",5120,4804,188,4992,128,97.5,"Nelson"
"55",5220,4951,173,5124,96,98.16,"Nelson"
"60",5040,4867,137,5004,36,99.29,"Nelson"
"65",4450,4362,99,4461,-11,100.25,"Nelson"
"70",4300,4251,49,4300,0,100,"Nelson"
NA,9410,9170,78,9248,162,98.28,"Nelson"
"25",6840,4268,264,4532,2308,66.26,"New Lynn"
"30",5900,3778,190,3968,1932,67.25,"New Lynn"
"35",5600,4457,193,4650,950,83.04,"New Lynn"
"40",4950,4623,170,4793,157,96.83,"New Lynn"
"45",4450,4074,140,4214,236,94.7,"New Lynn"
"50",4540,4320,156,4476,64,98.59,"New Lynn"
"55",4310,4178,165,4343,-33,100.77,"New Lynn"
"60",3920,3683,155,3838,82,97.91,"New Lynn"
"65",3330,3168,81,3249,81,97.57,"New Lynn"
"70",2630,2477,49,2526,104,96.05,"New Lynn"
NA,6390,6268,97,6365,25,99.61,"New Lynn"
"25",5700,4051,524,4575,1125,80.26,"New Plymouth"
"30",4520,3504,451,3955,565,87.5,"New Plymouth"
"35",4190,3584,379,3963,227,94.58,"New Plymouth"
"40",4330,3645,381,4026,304,92.98,"New Plymouth"
"45",4800,4081,387,4468,332,93.08,"New Plymouth"
"50",5090,4497,355,4852,238,95.32,"New Plymouth"
